"Producto que coincide ","Segmentaciones por producto","Agregado como","Impresiones","Clics","Tasa de clics (CTR)","Inversión(USD)","Costo por clic (CPC)(USD)","Pedidos","Ventas(USD)","ACOS","ROAS","Tasa de conversión"
"fantasy books for adults","fantasy books for adults","Palabra clave: frase","984","9","0.91",10.06,1.12,"1",15.99,"62.914321450906805","1.5894632206759445","11.11111111111111"
"young teen books/murder mysteries","books for teens","","1","1","100.00",1.27,1.27,"0",0,,"0.0","0.0"
"devotion books for teen boys","book for teen boys","","2","1","50.00",1.55,1.55,"0",0,,"0.0","0.0"
"historical fiction books for teen boys","book for teen boys","","2","1","50.00",1.86,1.86,"1",15.99,"11.632270168855536","8.596774193548386","100.0"
"best young adult books 2022","young adult books","","24","4","16.67",6.43,1.61,"0",0,,"0.0","0.0"
"adventure books for teens 12 16 boys","books for teens 12-16 boys","","3","1","33.33",1.55,1.55,"0",0,,"0.0","0.0"
"pre teen mystery books for boys","books for boys","","4","1","25.00",1.3,1.3,"1",15.99,"8.130081300813007","12.299999999999999","100.0"
"books for teen girls","books for teens","","607","7","1.15",8.66,1.24,"0",0,,"0.0","0.0"
"young adult books for ages 15 and up","young adult books","","2","1","50.00",0.4,0.4,"0",0,,"0.0","0.0"
"books for teen boys 15 to 18","book for teen boys","","1","1","100.00",1.92,1.92,"0",0,,"0.0","0.0"
"books like false prince","false prince","","1","1","100.00",0.23,0.23,"0",0,,"0.0","0.0"
"books teens boys and young adults","book for teen boys","","1","1","100.00",1.6,1.6,"0",0,,"0.0","0.0"
"princess books for teens","books for teens","","2","1","50.00",0.36,0.36,"0",0,,"0.0","0.0"
"young adults books","young adult books","","5","1","20.00",1.13,1.13,"0",0,,"0.0","0.0"
"teen books for boys ages 13-16","teen books for boys ages 13-16","Palabra clave: exacto","1","1","100.00",1,1,"1",15.99,"6.2539086929330825","15.99","100.0"
"teen girls devotional book","books for teens","","5","1","20.00",1.03,1.03,"0",0,,"0.0","0.0"
"teen books fiction 2020-2022","books for teens","","2","1","50.00",1.44,1.44,"0",0,,"0.0","0.0"
"books for teens 12-16 girls","books for teens 12-16 girls","Palabra clave: exacto","30","2","6.67",2.78,1.39,"0",0,,"0.0","0.0"
"choose your own adventure books for teens","teen adventure books","","2","1","50.00",1.04,1.04,"0",0,,"0.0","0.0"
"adventure books teens","adventure book teen","","2","1","50.00",1.43,1.43,"0",0,,"0.0","0.0"
"books for boy teenagers fantasy","books for boys","","1","1","100.00",2.14,2.14,"0",0,,"0.0","0.0"
"answers book for teens","books for teens","","3","1","33.33",1.19,1.19,"0",0,,"0.0","0.0"
"books for teen boys","books for teen boys","Palabra clave: frase, exacto","1438","24","1.67",50.8,2.12,"5",79.95,"63.53971232020012","1.5738188976377954","20.833333333333336"
"young adult fantasy books","young adult fantasy","Palabra clave: exacto","197","3","1.52",6.17,2.06,"1",15.99,"38.58661663539712","2.5915721231766615","33.33333333333333"
"romance ya books","ya books","","1","1","100.00",0.81,0.81,"0",0,,"0.0","0.0"
"ya romance books","ya books","","21","1","4.76",0.83,0.83,"0",0,,"0.0","0.0"
"young adult fantasy books","young adult fantasy books","Palabra clave: exacto","493","9","1.83",15.1,1.68,"1",15.99,"94.43402126328955","1.0589403973509932","11.11111111111111"
"books for 15+ year old boys","boys books","","1","1","100.00",0.97,0.97,"0",0,,"0.0","0.0"
"chapter books for 12 year old boys","books for 12 year old boys","","3","1","33.33",1.08,1.08,"0",0,,"0.0","0.0"
"soccer books for teens","books for teens","","1","1","100.00",1.27,1.27,"0",0,,"0.0","0.0"
"teen books for boys ages 13 16","teen books for boys ages 13-16","","7","1","14.29",1.82,1.82,"0",0,,"0.0","0.0"
"scifi fantasy books for adults","fantasy books for adults","","4","1","25.00",1.26,1.26,"0",0,,"0.0","0.0"
"book teen boy","books for teen boys","","1","1","100.00",2.23,2.23,"1",15.99,"13.946216385240776","7.170403587443946","100.0"
"ya mafia king book","ya books","","1","1","100.00",0.78,0.78,"0",0,,"0.0","0.0"
"new release teen books","books for teens","","1","1","100.00",1.22,1.22,"0",0,,"0.0","0.0"
"teen drama books","books for teens","","7","1","14.29",1.27,1.27,"0",0,,"0.0","0.0"
"comic books for teens","books for teens","","4","1","25.00",1.02,1.02,"0",0,,"0.0","0.0"
"teen books for boys ages 14-16","books for boys age 14","","1","1","100.00",1.69,1.69,"0",0,,"0.0","0.0"
"books for 11 year old boys","books for 11 year old boys","Palabra clave: exacto","6","1","16.67",1.06,1.06,"0",0,,"0.0","0.0"
"teenage boy books for 16 year old","teenage boy books","","1","1","100.00",1.1,1.1,"0",0,,"0.0","0.0"
"book for teen boys","books for teen boys","Palabra clave: frase, general","9","1","11.11",2.97,2.97,"0",0,,"0.0","0.0"
"books for teen boys 14-16","books for teen boys 14-16","Palabra clave: exacto","11","2","18.18",5.63,2.81,"0",0,,"0.0","0.0"
"graphic novels for kids 12-15","graphic novels for kids 12-15","Palabra clave neg.: neg. exacto","367","7","1.91",9.93,1.42,"0",0,,"0.0","0.0"
"best new book series for teenage boys","books for teenage boys","","1","1","100.00",1.19,1.19,"0",0,,"0.0","0.0"
"ya books","ya books","Palabra clave: frase, exacto, general","204","1","0.49",0.74,0.74,"0",0,,"0.0","0.0"
"teen girl books 14-17 fiction","books for teens","Palabra clave: exacto","1","1","100.00",1.19,1.19,"1",15.99,"7.442151344590369","13.436974789915967","100.0"
"ya dragonrider books","ya books","","2","1","50.00",0.14,0.14,"0",0,,"0.0","0.0"
"ya fantasy","ya fantasy","Palabra clave: exacto, frase, general","3","1","33.33",0.15,0.15,"0",0,,"0.0","0.0"
"samurai books for teens","books for teens","","1","1","100.00",1.27,1.27,"0",0,,"0.0","0.0"
"i survived books for teens","books for teens","","3","1","33.33",1.34,1.34,"1",15.99,"8.380237648530333","11.932835820895521","100.0"
"karen kingsbury mystery books for teens","books for teens","","1","1","100.00",0.98,0.98,"0",0,,"0.0","0.0"
"books for teen boys 14 16","books for teen boys 14-16","","14","1","7.14",1.56,1.56,"0",0,,"0.0","0.0"
"best selling young adult books 2022","young adult books","","16","3","18.75",3.86,1.29,"0",0,,"0.0","0.0"
"roman ya book","ya books","","1","1","100.00",0.87,0.87,"0",0,,"0.0","0.0"
"catholic books for teen boys","book for teen boys","","18","1","5.56",1.85,1.85,"0",0,,"0.0","0.0"
"inspiration books for teen boys","book for teen boys","","22","2","9.09",3.86,1.93,"1",15.99,"24.140087554721703","4.142487046632125","50.0"
"classic books for teens","books for teens","","22","1","4.55",1.27,1.27,"0",0,,"0.0","0.0"
"best books for teen boys","book for teen boys","","8","1","12.50",1.13,1.13,"0",0,,"0.0","0.0"
"teen saint book","books for teens","","1","1","100.00",1.27,1.27,"0",0,,"0.0","0.0"
"books for teen girls 12-14","books for teens","","39","4","10.26",3.03,0.76,"0",0,,"0.0","0.0"
"ya fantasy books","ya fantasy books","Palabra clave: general, exacto, frase","11","1","9.09",0.69,0.69,"0",0,,"0.0","0.0"
"books that are like eragon","books like eragon","","2","1","50.00",1.12,1.12,"0",0,,"0.0","0.0"
"dragon young adult book series","young adult books","","1","1","100.00",1.33,1.33,"0",0,,"0.0","0.0"
"books for 17+ year old boys","books 17 year old boy","","2","1","50.00",1.05,1.05,"0",0,,"0.0","0.0"
"survival novels books for teens","books for teens","","13","1","7.69",0.55,0.55,"0",0,,"0.0","0.0"
"fiction books for teens","books for teens","","5","1","20.00",0.85,0.85,"1",15.99,"5.31582238899312","18.811764705882354","100.0"
"books for boys age 12 the hobbit","books for boys","","4","1","25.00",1.08,1.08,"0",0,,"0.0","0.0"
"books for 14 year old boy","books for 14 year old boys","","7","1","14.29",0.73,0.73,"0",0,,"0.0","0.0"
"male teen books","books for teens","","1","1","100.00",1.27,1.27,"0",0,,"0.0","0.0"
"teen girl books 16 18","books for teens","","2","1","50.00",1.33,1.33,"0",0,,"0.0","0.0"
"teen vampire books","books for teens","","5","1","20.00",1.11,1.11,"0",0,,"0.0","0.0"
"ya novels","ya novels","Palabra clave: general, frase, exacto","7","1","14.29",0.5,0.5,"0",0,,"0.0","0.0"
"young adult fantasy","young adult fantasy","Palabra clave: frase","21","1","4.76",2.12,2.12,"0",0,,"0.0","0.0"
"teen books ireland","books for teens","","17","1","5.88",1.46,1.46,"0",0,,"0.0","0.0"
"young adult fantasy books barnes","young adult fantasy","","2","1","50.00",1.59,1.59,"0",0,,"0.0","0.0"
"fantasy young adult books","fantasy young adult books","Palabra clave: exacto","8","1","12.50",1.12,1.12,"0",0,,"0.0","0.0"
"catholic books for teens","books for teens","","6","1","16.67",1.22,1.22,"0",0,,"0.0","0.0"
"books for 10 year old boys","boys books","","43","2","4.65",1.94,0.97,"0",0,,"0.0","0.0"
"books for boys age 12-14","books for boys age 14","","6","2","33.33",3.02,1.51,"0",0,,"0.0","0.0"
"teen boy book sets","book for teen boys","","15","1","6.67",0.35,0.35,"0",0,,"0.0","0.0"
"top books for teen boys","top books for teen boys","Palabra clave: exacto","89","5","5.62",10.35,2.07,"0",0,,"0.0","0.0"
"classic books for teens 12-16 girls","books for teens","","2","1","50.00",1.27,1.27,"0",0,,"0.0","0.0"
"books for 13 year old boys","books 13 year old boys","Palabra clave: exacto","474","7","1.48",9.3,1.33,"0",0,,"0.0","0.0"
"tween boy books","boys books","","1","1","100.00",0.99,0.99,"0",0,,"0.0","0.0"
"romance fantasy books for teens","fantasy books for teens","","2","1","50.00",1.2,1.2,"0",0,,"0.0","0.0"
"tween books for boys ages 11 14","books for boys age 14","","4","1","25.00",1.01,1.01,"0",0,,"0.0","0.0"
"books like harry potter for teens","books for teens","","11","1","9.09",1.16,1.16,"0",0,,"0.0","0.0"
"books for teen boys 12 14","book for teen boys","","4","1","25.00",1.94,1.94,"0",0,,"0.0","0.0"
"young adult books new releases 2023","young adult books","","1","1","100.00",1.16,1.16,"0",0,,"0.0","0.0"
"books teen boys","books for teen boys","","160","1","0.63",2.31,2.31,"0",0,,"0.0","0.0"
"young adult fantasy fiction teen boys","young adult fantasy fiction","","6","1","16.67",1.1,1.1,"0",0,,"0.0","0.0"
