"Producto que coincide ","Segmentaciones por producto","Agregado como","Impresiones","Clics","Tasa de clics (CTR)","Inversión(USD)","Costo por clic (CPC)(USD)","Pedidos","Ventas(USD)","ACOS","ROAS","Tasa de conversión"
"young adult christian free kindle","loose-match","","2","1","50.00",1.65,1.65,"0",0,,"0.0","0.0"
"kids books ages 14 16","loose-match","","1","1","100.00",0.22,0.22,"0",0,,"0.0","0.0"
"best novels for high schoolers","loose-match","","1","1","100.00",1.01,1.01,"0",0,,"0.0","0.0"
"13 romance books","loose-match","","1","1","100.00",0.99,0.99,"0",0,,"0.0","0.0"
"free kindle books","loose-match","","2117","3","0.14",2.2,0.73,"0",0,,"0.0","0.0"
"best series books for adults","loose-match","","3","1","33.33",1.01,1.01,"0",0,,"0.0","0.0"
"kids books","loose-match","","14","1","7.14",1.23,1.23,"0",0,,"0.0","0.0"
"good books for teens fantasy","loose-match","","1","1","100.00",1.41,1.41,"0",0,,"0.0","0.0"
"free teen books for boys ages 14 16","loose-match","","2","1","50.00",1.29,1.29,"0",0,,"0.0","0.0"
"ya free books","loose-match","","3","1","33.33",1.01,1.01,"0",0,,"0.0","0.0"
"young adult books","loose-match","","53","2","3.77",4.01,2,"0",0,,"0.0","0.0"
"fantasy romance books ages 14-16","loose-match","","2","1","50.00",0.78,0.78,"0",0,,"0.0","0.0"
"christian teen fiction","loose-match","","1","1","100.00",0.19,0.19,"0",0,,"0.0","0.0"
"13 year old books","loose-match","","2","1","50.00",1.19,1.19,"0",0,,"0.0","0.0"
"age 9-12 free books","loose-match","","1","1","100.00",0.94,0.94,"0",0,,"0.0","0.0"
"best teen books","loose-match","","2","1","50.00",1.01,1.01,"0",0,,"0.0","0.0"
"books for 14 year old romance","loose-match","","2","1","50.00",0.98,0.98,"0",0,,"0.0","0.0"
"fantasy for 15 year old boy","loose-match","","3","1","33.33",1.01,1.01,"0",0,,"0.0","0.0"
