Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;Kindle;coleccion harry potter libros español;BROAD;CAMPAIGN_PAUSED;0.13;0.20;0.40;0.08;;10;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;coleccion libros harry potter;EXACT;CAMPAIGN_PAUSED;0.17;0.22;0.32;0.08;;405;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;coleccion libros harry potter;BROAD;CAMPAIGN_PAUSED;0.14;0.19;0.38;0.08;;195;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;Kindle;coleccion libros harry potter;PHRASE;CAMPAIGN_PAUSED;0.14;0.18;0.25;0.08;;44;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;Kindle;coleccion libros harry potter español;PHRASE;CAMPAIGN_PAUSED;0.16;0.19;0.38;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;coleccion libros harry potter español;EXACT;CAMPAIGN_PAUSED;0.16;0.19;0.38;0.08;;235;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;coleccion libros harry potter español;BROAD;CAMPAIGN_PAUSED;0.13;0.20;0.40;0.08;;31;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;drizzt;BROAD;CAMPAIGN_PAUSED;0.14;0.16;0.23;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;drizzt;PHRASE;CAMPAIGN_PAUSED;0.14;0.16;0.21;0.08;;6;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;drizzt;EXACT;CAMPAIGN_PAUSED;0.13;0.14;0.16;0.08;;256;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;Kindle;el señor de los anillos libros;PHRASE;CAMPAIGN_PAUSED;0.12;0.14;0.23;0.08;;16;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;el señor de los anillos libros;EXACT;CAMPAIGN_PAUSED;0.13;0.14;0.28;0.08;;1331;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;el señor de los anillos libros;BROAD;CAMPAIGN_PAUSED;0.13;0.15;0.22;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;elige tu propia aventura libros 10 años;BROAD;CAMPAIGN_PAUSED;;;;0.08;;9;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;elige tu propia aventura libros 10 años;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;elige tu propia aventura libros 10 años;EXACT;CAMPAIGN_PAUSED;;;;0.08;;16;0;0;0.00;0.00;0;0.00;;0;0.00
