Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;BROAD;novelas para adolescentes chicos 20 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 19 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 18 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 17 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 16 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 15 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 13 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 12 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicos 11 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 25 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 24 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 23 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 22 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 21 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 20 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 19 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 18 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 17 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 16 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 15 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 13 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 12 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes chicas 11 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 19 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 18 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;20.0%;5;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 17 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;50.0%;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 16 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;>95%;17;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 15 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;6666666666666660%;20;3;0.15;1.94;0.65;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;>95%;5;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 13 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;50.0%;6;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 12 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;4444444444444440%;15;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas para adolescentes 11 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;50.0%;1;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novelas para adolescentes;BROAD;TARGETING_CLAUSE_PAUSED;0.13;0.18;0.36;0.10;6829268292682920%;8342;16;0.0019;6.81;0.43;0;0.00;;0;0.00
PAUSED;BROAD;novelas medievales;BROAD;TARGETING_CLAUSE_PAUSED;0.16;0.19;0.29;0.10;<5%;111;1;0.009;0.03;0.03;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles fantasia;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;3333333333333330%;67;1;0.0149;0.18;0.18;0;0.00;;0;0.00
PAUSED;BROAD;novelas juveniles fantasia;EXACT;TARGETING_CLAUSE_PAUSED;;;;0.10;>95%;22;3;0.1364;0.94;0.31;0;0.00;;643;2.59
PAUSED;BROAD;novelas juveniles de fantasía;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 25 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 24 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 23 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 22 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 21 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 20 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;>95%;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 19 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 18 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;87.5%;9;1;0.1111;0.20;0.20;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 17 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 16 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;6115107913669060%;143;3;0.021;1.54;0.51;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 15 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;>95%;3;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.24;5203252032520320%;260;3;0.0115;1.25;0.42;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 13 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.15;0.31;0.31;0.30;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas juveniles 12 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;4280155642023340%;161;4;0.0248;2.44;0.61;1;15.99;0.1526;0;0.00
ENABLED;BROAD;novelas juveniles 11 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novelas juveniles;BROAD;TARGETING_CLAUSE_PAUSED;0.16;0.20;0.29;0.10;13541666666666600%;5350;5;0.0009;0.63;0.13;0;0.00;;0;0.00
ENABLED;BROAD;novelas fantasticas;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.14;0.18;0.23;0.19;54581673306772900%;1464;4;0.0027;3.71;0.93;0;0.00;;0;0.00
PAUSED;BROAD;novelas fantasia juvenil;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.15;;8;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novelas fantasia;BROAD;TARGETING_CLAUSE_PAUSED;0.19;0.24;0.38;0.10;75.0%;201;1;0.005;1.30;1.30;0;0.00;;0;0.00
ENABLED;BROAD;novelas fantasia;EXACT;TARGETING_CLAUSE_STATUS_LIVE;0.17;0.24;0.31;0.10;37391304347826000%;147;2;0.0136;1.68;0.84;0;0.00;;0;0.00
PAUSED;BROAD;novelas faciles de leer;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novelas de sagas familiares;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;5;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novelas de fantasia;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.19;0.24;0.38;0.10;4690721649484530%;137;6;0.0438;3.62;0.60;1;15.99;0.2264;0;0.00
PAUSED;BROAD;novelas de aventuras para adolescentes;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;<5%;5;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novela juvenil mas vendida;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;50.0%;1910;2;0.001;0.19;0.10;0;0.00;;0;0.00
PAUSED;BROAD;novela juvenil fantastica;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;570;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil fantasia;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 25 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 24 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 23 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 22 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 21 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 20 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 19 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 18 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 17 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;>95%;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 16 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;<5%;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 15 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;8571428571428570%;26;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 13 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.15;0.31;0.31;0.30;4705882352941170%;42;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 12 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.30;22058823529411700%;31;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela juvenil 11 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novela juvenil;BROAD;TARGETING_CLAUSE_PAUSED;0.16;0.20;0.29;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novela historica;EXACT;TARGETING_CLAUSE_PAUSED;0.21;0.31;0.44;0.10;<5%;2601;5;0.0019;1.06;0.21;0;0.00;;0;0.00
PAUSED;BROAD;novela fantasia medieval;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;40.0%;9;1;0.1111;1.30;1.30;0;0.00;;0;0.00
PAUSED;BROAD;novela fantasia juvenil;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;38;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela fantasia;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.19;0.24;0.38;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela fantasia;EXACT;TARGETING_CLAUSE_STATUS_LIVE;0.17;0.24;0.31;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;novela de fantasia;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.19;0.24;0.38;0.10;5178571428571420%;121;4;0.0331;3.23;0.81;0;0.00;;0;0.00
ENABLED;BROAD;novela de fantasia;EXACT;TARGETING_CLAUSE_STATUS_LIVE;0.17;0.24;0.31;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novela belica y accion;EXACT;TARGETING_CLAUSE_PAUSED;;;;0.10;;9;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novela belica y accion;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novedades libros juveniles;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;3;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novedades libros fantasia;BROAD;TARGETING_CLAUSE_PAUSED;;;;0.10;;3;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;novedades libros;BROAD;TARGETING_CLAUSE_PAUSED;0.16;0.19;0.28;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;nacidos de la bruma trilogia;BROAD;TARGETING_CLAUSE_PAUSED;0.12;0.14;0.26;0.10;3333333333333330%;23;0;0;0.00;0.00;0;0.00;;0;0.00
PAUSED;BROAD;nacidos de la bruma;BROAD;TARGETING_CLAUSE_PAUSED;0.12;0.13;0.22;0.10;6086956521739130%;301;1;0.0033;1.18;1.18;0;0.00;;0;0.00
PAUSED;BROAD;mejores libros para adolescentes;BROAD;TARGETING_CLAUSE_PAUSED;0.18;0.20;0.40;0.10;<5%;14;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejores libros para adolescentes;EXACT;TARGETING_CLAUSE_STATUS_LIVE;0.18;0.20;0.40;0.10;4068441064638780%;191;5;0.0262;4.85;0.97;0;0.00;;0;0.00
PAUSED;BROAD;mejores libros;BROAD;TARGETING_CLAUSE_PAUSED;0.16;0.21;0.36;0.10;7142857142857140%;801;3;0.0037;0.82;0.27;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 25 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 24 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 23 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 22 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 21 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 20 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 19 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 18 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 17 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;>95%;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 16 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;>95%;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 15 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 14 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;8333333333333330%;15;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 13 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.17;0.19;0.21;0.10;50.0%;11;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 12 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;0.14;0.19;0.29;0.19;28654970760233900%;51;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro para 11 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro 25 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro 24 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro 23 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro 22 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;BROAD;mejor libro 21 años;BROAD;TARGETING_CLAUSE_STATUS_LIVE;;;;0.10;;1;0;0;0.00;0.00;0;0.00;;0;0.00
